Interaction index,Player index,Opponent index,Repetition,Player name,Opponent name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
65,5,5,0,Marco - IncreasingAlternator,Marco - IncreasingAlternator,CDCCDDCCCD,-18,0,10,-1.8,0.0,0,True,6,6,0,0,4,3,3,0,0,0,0,2,1,1
65,5,5,0,Marco - IncreasingAlternator,Marco - IncreasingAlternator,CDCCDDCCCD,-18,0,10,-1.8,0.0,0,True,6,6,0,0,4,3,3,0,0,0,0,2,1,1
66,5,6,0,Marco - IncreasingAlternator,Jonas - Strategy1: 0.5,CDCCDDCCCD,-26,-10,10,-2.6,-1.0,0,True,6,4,2,0,4,1,3,2,0,0,0,2,1,1
66,6,5,0,Jonas - Strategy1: 0.5,Marco - IncreasingAlternator,CDDCDDDCCD,-16,10,10,-1.6,1.0,1,True,4,4,0,2,4,1,3,0,0,2,0,0,3,0
67,5,7,0,Marco - IncreasingAlternator,Karim - Simple: 0.5,CDCCDDCCCD,-17,5,10,-1.7,0.5,1,True,6,4,2,3,1,1,3,2,0,1,1,1,0,0
67,7,5,0,Karim - Simple: 0.5,Marco - IncreasingAlternator,CCDCCDDCCC,-22,-5,10,-2.2,-0.5,0,True,7,4,3,2,1,4,0,0,2,2,0,0,1,1
68,5,8,0,Marco - IncreasingAlternator,Karim - Ressurection: 0.5,CDCCDDCCCD,-17,5,10,-1.7,0.5,1,True,6,4,2,3,1,1,3,2,0,1,1,1,0,0
68,8,5,0,Karim - Ressurection: 0.5,Marco - IncreasingAlternator,CCDCCDDCCC,-22,-5,10,-2.2,-0.5,0,True,7,4,3,2,1,4,0,0,2,2,0,0,1,1
69,5,9,0,Marco - IncreasingAlternator,David - Kobayashi Maru: 0.5,CDCCDDCCCD,-34,-20,10,-3.4,-2.0,0,True,6,2,4,0,4,1,1,2,2,0,0,2,1,1
69,9,5,0,David - Kobayashi Maru: 0.5,Marco - IncreasingAlternator,DDDCDDDCDD,-14,20,10,-1.4,2.0,1,False,2,2,0,4,4,0,2,0,0,2,2,0,3,0
70,5,10,0,Marco - IncreasingAlternator,Stephan: 0.5,CDCCDDCCCD,-31,-15,10,-3.1,-1.5,0,True,6,2,4,1,3,1,1,2,2,0,0,2,1,1
70,10,5,0,Stephan: 0.5,Marco - IncreasingAlternator,DDDDDDDCCC,-16,15,10,-1.6,1.5,1,False,3,2,1,4,3,2,0,0,0,1,3,0,3,0
71,5,11,0,Marco - IncreasingAlternator,Dan - Strategy: 0.5,CDCCDDCCCD,-35,-20,10,-3.5,-2.0,0,True,6,1,5,1,3,1,0,2,3,0,1,2,0,1
71,11,5,0,Dan - Strategy: 0.5,Marco - IncreasingAlternator,DDDDCDDCDD,-15,20,10,-1.5,2.0,1,False,2,1,1,5,3,0,1,0,1,2,3,0,2,0
72,5,12,0,Marco - IncreasingAlternator,Cardassian General: 0.5,CDCCDDCCCD,-20,0,10,-2.0,0.0,0,True,6,4,2,2,2,1,3,2,0,1,1,1,0,1
72,12,5,0,Cardassian General: 0.5,Marco - IncreasingAlternator,CCDCCDDCCD,-20,0,10,-2.0,0.0,0,True,6,4,2,2,2,3,1,0,2,2,0,0,1,1
73,5,13,0,Marco - IncreasingAlternator,Cardassian General: 0.5,CDCCDDCCCD,-27,-10,10,-2.7,-1.0,0,True,6,3,3,1,3,2,1,1,2,1,0,1,1,1
73,13,5,0,Cardassian General: 0.5,Marco - IncreasingAlternator,CCCDDDCDDD,-17,10,10,-1.7,1.0,1,True,4,3,1,3,3,1,2,1,0,0,3,1,1,0
74,5,14,0,Marco - IncreasingAlternator,Alessandro - Random: 0.5,CDCCDDCCCD,-6,20,10,-0.6,2.0,1,True,6,6,0,4,0,3,3,0,0,2,1,0,0,0
74,14,5,0,Alessandro - Random: 0.5,Marco - IncreasingAlternator,CCCCCCCCCC,-26,-20,10,-2.6,-2.0,0,True,10,6,4,0,0,6,0,3,0,0,0,0,0,1
75,6,6,0,Jonas - Strategy1: 0.5,Jonas - Strategy1: 0.5,CDDDDDDDDD,-28,0,10,-2.8,0.0,0,True,1,1,0,0,9,0,1,0,0,0,0,0,8,1
75,6,6,0,Jonas - Strategy1: 0.5,Jonas - Strategy1: 0.5,CDDDDDDDDD,-28,0,10,-2.8,0.0,0,True,1,1,0,0,9,0,1,0,0,0,0,0,8,1
76,6,7,0,Jonas - Strategy1: 0.5,Karim - Simple: 0.5,CDDDDDDDDD,-25,5,10,-2.5,0.5,1,True,1,1,0,1,8,0,1,0,0,0,1,0,7,0
76,7,6,0,Karim - Simple: 0.5,Jonas - Strategy1: 0.5,CCDDDDDDDD,-30,-5,10,-3.0,-0.5,0,True,2,1,1,0,8,1,0,0,1,0,0,0,7,1
77,6,8,0,Jonas - Strategy1: 0.5,Karim - Ressurection: 0.5,CDDDDDDDDD,-25,5,10,-2.5,0.5,1,True,1,1,0,1,8,0,1,0,0,0,1,0,7,0
77,8,6,0,Karim - Ressurection: 0.5,Jonas - Strategy1: 0.5,CCDDDDDDDD,-30,-5,10,-3.0,-0.5,0,True,2,1,1,0,8,1,0,0,1,0,0,0,7,1
78,6,9,0,Jonas - Strategy1: 0.5,David - Kobayashi Maru: 0.5,CDDDCDDDCD,-30,-5,10,-3.0,-0.5,0,True,3,0,3,2,5,0,0,0,3,2,0,0,4,1
78,9,6,0,David - Kobayashi Maru: 0.5,Jonas - Strategy1: 0.5,DDDCDDDCDD,-25,5,10,-2.5,0.5,1,False,2,0,2,3,5,0,0,0,2,0,3,2,2,0
79,6,10,0,Jonas - Strategy1: 0.5,Stephan: 0.5,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
79,10,6,0,Stephan: 0.5,Jonas - Strategy1: 0.5,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
80,6,11,0,Jonas - Strategy1: 0.5,Dan - Strategy: 0.5,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
80,11,6,0,Dan - Strategy: 0.5,Jonas - Strategy1: 0.5,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
81,6,12,0,Jonas - Strategy1: 0.5,Cardassian General: 0.5,CDDDDDDDDD,-25,5,10,-2.5,0.5,1,True,1,1,0,1,8,0,1,0,0,0,1,0,7,0
81,12,6,0,Cardassian General: 0.5,Jonas - Strategy1: 0.5,CCDDDDDDDD,-30,-5,10,-3.0,-0.5,0,True,2,1,1,0,8,1,0,0,1,0,0,0,7,1
82,6,13,0,Jonas - Strategy1: 0.5,Cardassian General: 0.5,CDDDDCDDCD,-23,5,10,-2.3,0.5,1,True,3,1,2,3,4,0,1,0,2,2,1,0,3,0
82,13,6,0,Cardassian General: 0.5,Jonas - Strategy1: 0.5,CCDDCDDCDD,-28,-5,10,-2.8,-0.5,0,True,4,1,3,2,4,1,0,0,3,0,2,2,1,1
83,6,14,0,Jonas - Strategy1: 0.5,Alessandro - Random: 0.5,CDDDDDDDDD,-1,45,10,-0.1,4.5,1,True,1,1,0,9,0,0,1,0,0,0,8,0,0,0
83,14,6,0,Alessandro - Random: 0.5,Jonas - Strategy1: 0.5,CCCCCCCCCC,-46,-45,10,-4.6,-4.5,0,True,10,1,9,0,0,1,0,8,0,0,0,0,0,1
84,7,7,0,Karim - Simple: 0.5,Karim - Simple: 0.5,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
84,7,7,0,Karim - Simple: 0.5,Karim - Simple: 0.5,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
85,7,8,0,Karim - Simple: 0.5,Karim - Ressurection: 0.5,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
